_id,id,username,followers,text,hashtags,created,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca3"")",1.23992E+18,AAMcCaig1,216,RT @waltshaub: If somebody had said in January 2017 that Trump would fail this catastrophically during a pandemic, I'd have believed them.…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca4"")",1.23992E+18,ItsOverNowOk,873,RT @RawStory: Trump crashes face first into reality as he reverses himself on the coronavirus in 4 key ways https://t.co/SAaB7SoJFU,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca5"")",1.23992E+18,om_namah_shiv,49,RT @DalitPositive: Complaint sent to Delhi Police, Min. of Soc. Justice and Empowerment &amp; National Com. for Scheduled Caste &amp; MHA to invoke…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca6"")",1.23992E+18,mysweetjordan,67,RT @AshaRangappa_: He's the PRESIDENT OF THE UNITED STATES. Of COURSE he shakes hands. A LOT. Why does he feel the need to lie about super…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca7"")",1.23992E+18,katriord,4523,RT @jdgomer: Florida beaches full as Trump advises against groups larger than 10.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SMH #FloridaProud #Coronavirus,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://t.co/EX5R9zlaTq,"[{text"":""FloridaProud""",indices:[87,100]},"{""text"":""Coronavirus""",indices:[101,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca8"")",1.23992E+18,ScottCo69137715,31,@NathanLerner @TheDemCoalition Can this tweet be reported for spreading false information or since its bashing the… https://t.co/roZcCCNH3I,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca9"")",1.23992E+18,K_Monyemangene,643,RT @PresidencyZA: President @CyrilRamaphosa briefs the nation on the Outcomes of the Special Cabinet Meeting on the #CoronaVirusSA outbreak…,"[{text"":""CoronaVirusSA""","130]}]""","2020-03-17T14:27:17.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacaa"")",1.23992E+18,ChrisGfx98,4550,RT @ashleyyhickmann: Soooo, Trump says that the coronavirus pandemic could until July or August...... or longer. I think we can consider 20…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacab"")",1.23992E+18,YDanasmithdutra,11325,RT @CNN: Former Vice President Joe Biden received Secret Service protection starting Tuesday, sources familiar with the matter tell CNN. ht…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacac"")",1.23992E+18,chasmarlow,36,Another false story. Anonymous sources strike again.  Shouldn't news sites announce when they have had to drastical… https://t.co/ROgbOs51c0,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacad"")",1.23992E+18,ahithopel,2744,RT @real_defender: @realDonaldTrump Together we win, divided we fail. Thank you Mr. President for coordinating this response to defeat the…,"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacae"")",1.23992E+18,thewazir90,316,Trump calls COVID-19 the ‘Chinese Virus’ despite WHO warning the term fuels stigma  https://t.co/4j8GTIaOnL,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cacaf"")",1.23992E+18,Justinwcomedy,1780,Donald Trump throws a little girl off a cliff on live TV, Trump supporters 5 mins later....,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
“The media is so unfa… https://t.co/xQDnP3j9fj,[],"2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,,,,,
